,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
[L74f1dc3e-8b18-46e3],Tudela,Tudela,City,,,789,
[Lad968203-d4d6-454c],Zaragoza,Zaragoza,City,,,"Apr 27, 875",
[L4ba64989-bee8-432c],China (Zhongguo 中國),China (Zhongguo 中國),Country,,,541,
[L87cf1d96-a0db-4cbd],Chang'an,Chang'an,City,,,566,[L4ba64989-bee8-432c]
[L1fa313d2-52b2-4260],T,T,State,,,598,[L4ba64989-bee8-432c]
[Lc01d1600-e239-4465],Lizhou,Lizhou,State,,,624,[L4ba64989-bee8-432c]
[L93817fed-0f02-415c],Mutapa,Mutapa,Country,,,1624,
[L05338c17-be7a-47fd],Brasil,Brasil,Country,,,1560,
[L566b86ae-b6e0-4b8e],São Paulo,São Paulo,State,,,1560,[L05338c17-be7a-47fd]
[Le35b04c3-6cba-4011],León,León,Country,,,999,
[L0bb6a72e-871b-4d17],Honduras,Honduras,Country,,,437,
[5f164ab9-430e-484f-88a5-ec014b16b515],Copán,Copán,City,,,437,[L0bb6a72e-871b-4d17]
[Lbb27b339-a666-4cb3],São Paulo,São Paulo,City,,,1627,[L05338c17-be7a-47fd]
[L4b235323-b0a1-440e],Tawantinsuyu,Tawantinsuyu,Country,,,1529,
[L4f881183-05a3-47b3],Brazil,Brazil,Country,,,"Sep 21, 1815",
[Lc2c97a07-3bb9-4909],Minas Gerais,Minas Gerais,State,,,"Sep 21, 1815",[L4f881183-05a3-47b3]
[L835d3554-b1df-4430],Cachoeira do Campo,Cachoeira do Campo,City,,,"Sep 21, 1815",[Lc2c97a07-3bb9-4909]
[Lf77ae628-fc20-4f73],Paraiba,Paraiba,State,,,"Mar 7, 1730",[L05338c17-be7a-47fd]
[L4af4242b-237b-4636],Rio de Janeiro,Rio de Janeiro,State,,,"Sep 9, 1705",[L05338c17-be7a-47fd]
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[P386661a0-63f2-46a8],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P45653287-2524-4f37],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P25ca0559-8c83-4e3d],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P9f28c6d7-a16d-4efb],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pbb00aeab-f56d-4008],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P6cb20142-3b79-4e2f],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pbadaffab-804a-40ff],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pab7106da-c588-4e21],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pb86cf4e0-267e-45df],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pbe806d87-b69c-45a9],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pa4d44e43-7b35-4d20],Qasi,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P687f8bea-09d0-4448],Unknown,,,,,,,,,,,,,,,,,,,,
[Pd5c23863-5e23-4d24],Fortún,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P4e9f1cbf-75bf-4e2d],Unknown,,,,,,,,,,,,,,,,,,,,
[P2452ecba-960f-4553],Aisha bint Abd al-Aziz,,,,,,,,,,,,,,,,,,,,
[P8a44d448-af25-400b],Musa,,,,,,male,,According to Primary Sources.,,,,,,,,,789,,[L74f1dc3e-8b18-46e3],
[P1a1bad0b-9f2a-46cc],Unknown,,,,,,,,,,,,,,,,,,,,
[P5a731099-2535-4f31],Musa,,,,,,male,,According to Primary Sources.,,,,,,,,,"Sep 26, 862",,[L74f1dc3e-8b18-46e3],
[P9a04bd92-39b0-4384],Assona Iñiguez,,,,,,,,,,,,,,,,,,,,
[Ped975f05-8b2e-471a],Unknown,,,,,,,,,,,,,,,,,,,,
[P4533fd2a-9151-4c8b],Lubb,,,,,,male,,According to Primary Sources.,,,,,,,,,"Apr 27, 875",,[Lad968203-d4d6-454c],
[Pefc079ac-f43a-4831],Ayab,,,,,,,,,,,,,,,,,,,,
[P467ccf01-f402-49a6],Aurea,,,,,,female,,No primary source was found to confirm this.,,,,,,,,,,,,
[P4f42f68e-d04f-4cf5],Fortún Garcia,,,,,,,,,,,,,,,,,,,,
[P36da6771-de40-45b9],Muhammad,,,,,,male,,According to Primary Sources.,,,,,,,,,"Oct 2, 898",,[Lad968203-d4d6-454c],
[P738ab82e-6127-4cc7],Unknown,,,,,,,,,,,,,,,,,,,,
[Pdfe82008-d8ac-4a5f],Lubb,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[Pbee536be-452c-4879],Unknown,,,,,,,,,,,,,,,,,,,,
[Pfd21d0b2-cc07-40ae],Abu Tawr,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P1085dc64-e6ae-4e6a],Abu Salama,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P3746cee7-5b12-43ba],Yunus,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P16c6aa93-c9db-48a7],Yahya,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P23dadd34-3172-4b2a],Zahir,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[Pd4df2843-b655-418d],Mutarrif ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P28dd6e1c-174f-4257],Yunus ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P613c586d-5d1f-476a],Yuwartas ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P0c55dd09-d135-4b4a],Garsiya ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P8b000091-0621-4f44],Mutarrif ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P3c4ce6f3-b293-4d38],Fortun ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P85e0fdb2-f897-45e3],Ismail ibn Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P9e904fcb-3a21-4164],Awriya bint Musa,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[Pc35b09a2-373f-46bf],Unknown,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P96c16c3a-9245-45ba],Lubb ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[Pdd37b7f1-4c0a-49f5],Musa ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P1ee2d4d0-3ac4-40c1],Yusuf ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P21c4d1ca-7aff-4416],Abd Allah ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[Pa3ba687d-d1ac-4da9],Yunus ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P5379285d-ecf4-4c2b],Mutarif ibn Muhammad,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P46f8bcca-4fdf-40ac],Muhammad ibn Muhammad,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pb54911ed-1b53-412f],Unknown,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P2f5c549c-0abd-4924],Unknown,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P58ca6af8-50d0-4561],Yang Jian (楊堅),Yang,,,,,male,,According to Primary Sources.,541,,[L4ba64989-bee8-432c],,,,,,604,,[L4ba64989-bee8-432c],
[P9bdc91b9-0579-4630],Dugu Qieluo (獨孤伽羅),,,,,,,,,,,,,,,,,,,,
[P855d9bb4-6d31-4788],Yang Guang (楊廣),Yang,,,,,male,,According to Primary Sources.,569,,[L4ba64989-bee8-432c],,,,,,618,,[L4ba64989-bee8-432c],
[P8573a7f5-72d6-4583],Empress Xiao (蕭后),,,,,,,,,,,,,,,,,,,,
[P10a5ce41-1cba-4796],Yang Zhao (楊昭),,,,,,male,,According to Primary Sources.,579,,[L4ba64989-bee8-432c],,,,,,2010,,[L4ba64989-bee8-432c],
[P8dfaa18f-4251-45da],Unknown,,,,,,,,,,,,,,,,,,,,
[Pf0c9cbe2-a22d-43d8],Yang Tong (楊侗),,,,,,male,,According to Primary Sources.,,,,,,,,,618,,[L4ba64989-bee8-432c],
[P3378c16e-9464-4eca],Yang Yong (楊勇),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P0d0c7d52-e67d-4e1b],Li Yuan (李淵),Li,,,,,male,,According to Primary Sources.,566,,[L87cf1d96-a0db-4cbd],,,,,,626,,[L87cf1d96-a0db-4cbd],
[P0beeb712-a15e-4b5c],Unknown,,,,,,,,,,,,,,,,,,,,
[P90c89de9-a504-4528],Li Shimin (李世民),Li,,,,,male,,According to Primary Sources.,598,,[L1fa313d2-52b2-4260],,,,,,649,,[L4ba64989-bee8-432c],
[Pfe810c29-c9ad-4681],Unknown,,,,,,,,,,,,,,,,,,,,
[P61312414-3632-4a70],Li Zhi (李治),Li,,,,,male,,According to Primary Sources.,628,,[L87cf1d96-a0db-4cbd],,,,,,683,,[L87cf1d96-a0db-4cbd],
[P2c821571-69da-4686],Wang (王后),,,,,,,,,,,,,,,,,,,,
[P7fd55d12-3a92-4ec2],Xiao Shufei,,,,,,,,,,,,,,,,,,,,
[Pff76cad8-9368-4a23]," Wu Zetian (武則天)",,,,,,,,,,,,,,,,,,,,
[P19ba71c0-4cf2-4092],Li Xian (李顯),Li,,,,,male,,According to Primary Sources.,653,,[L4ba64989-bee8-432c],,,,,,710,,[L4ba64989-bee8-432c],
[Pefef5f13-894e-4642],Wei (韋),,,,,,,,,,,,,,,,,,,,
[Pc26d7ab6-28fb-45ac],Li Chongmao (李重茂),Li,,,,,male,,According to Primary Sources.,695,,,,,,,,,,,
[P92c8ee7a-557d-4dae],Li Dan (李旦),Li,,,,,male,,According to Primary Sources.,662,,[L4ba64989-bee8-432c],,,,,,"Jul 13, 716",,[L4ba64989-bee8-432c],
[Pdc581fdf-c4eb-4fee],Unknown,,,,,,,,,,,,,,,,,,,,
[Pfe7d5336-603f-4712],Li Longji (李隆基),Li,,,,,male,,According to Primary Sources.,685,,[L4ba64989-bee8-432c],,,,,,762,,[L4ba64989-bee8-432c],
[P2811cd6e-1a02-4c60],Yuanxian,,,,,,,,,,,,,,,,,,,,
[Pc78967c6-e769-4f22],Li Heng (李亨),Li,,,,,male,,According to Primary Sources.,711,,[L4ba64989-bee8-432c],,,,,,762,,[L4ba64989-bee8-432c],
[Pd81dddf0-9ee7-4c7d],Dowager Zhangjing (章敬),,,,,,,,,,,,,,,,,,,,
[P9fb9ee5f-0528-4ea4],Li Yu (李豫),Li,,,,,male,,According to Primary Sources.,726,,[L4ba64989-bee8-432c],"Pei, C., & Li, W.",,,,,779,,[L4ba64989-bee8-432c],"Pei, C., & Li, W."
[P6be0543e-778d-4866],Shen (沈),,,,,,,,,,,,,,,,,,,,
[P146b4540-3450-4452],Li Shi (李適),Li,,,,,male,,According to Primary Sources.,742,,[L4ba64989-bee8-432c],,,,,,885,,[L4ba64989-bee8-432c],
[P83aa4e94-6a80-410e],Unknown,,,,,,,,,,,,,,,,,,,,
[P4e55f0a4-2a26-4605],Li Song (李婎),Li,,,,,male,,According to Primary Sources.,761,,[L4ba64989-bee8-432c],,,,,,806,,[L4ba64989-bee8-432c],
[P4ff773db-b186-43ea],Desconocida,,,,,,,,,,,,,,,,,,,,
[P15ecef31-c173-45af],Li Chun (李純),Li,,,,,male,,According to Primary Sources.,778,,[L4ba64989-bee8-432c],,,,,,820,,[L4ba64989-bee8-432c],
[P7fb32396-406f-428d],Unknown,,,,,,,,,,,,,,,,,,,,
[P37954e2e-ba5b-43d3],Li Heng (李恆),Li,,,,,male,,According to Primary Sources.,795,,[L4ba64989-bee8-432c],"Qin, A. Y., & 秦瓔",,,,,824,,[L4ba64989-bee8-432c],"Qin, A. Y., & 秦瓔"
[P2cfbb6d0-1f4e-4654],Guo (郭),,,,,,,,,,,,,,,,,,,,
[Pfa66493f-f6c4-495f],Unknown,,,,,,,,,,,,,,,,,,,,
[Pbc6d29b3-e877-4c4e],Li Zhan (李湛),Li,,,,,male,,According to Primary Sources.,809,,[L4ba64989-bee8-432c],,,,,,826,,[L4ba64989-bee8-432c],
[P9afeaa60-8328-470a],Li Ang (李昂),Li,,,,,male,,According to Primary Sources.,,,,,,,,,840,,[L4ba64989-bee8-432c],
[Pefb81ade-0d19-4ee8],Unknown,,,,,,,,,,,,,,,,,,,,
[P5ac6d42f-c31a-445a],Li Chan (李炎),Li,,,,,male,,According to Primary Sources.,814,,[L4ba64989-bee8-432c],,,,,,846,,[L4ba64989-bee8-432c],
[P50449363-9f89-4d24],Li Cheng (李忱),Li,,,,,masculino,,According to Primary Sources.,,,,,,,,,859,,[L4ba64989-bee8-432c],
[Pa74327ac-500e-46c7],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pdf970eb5-76b2-4644],Li Cui (李漼),Li,,,,,masculino,,According to Primary Sources.,833,,[L4ba64989-bee8-432c],,,,,,873,,[L4ba64989-bee8-432c],
[Pc6f12b96-746a-4e24],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pcaa4eeae-7a45-4bfd],Li Xuan (李儇),Li,,,,,masculino,,According to Primary Sources.,862,,[L4ba64989-bee8-432c],,,,,,888,,[L4ba64989-bee8-432c],
[Pe4bde887-2d9b-41cf],Li Ye (李曄),Li,,,,,masculino,,According to Primary Sources.,"Apr 1, 867",,[L4ba64989-bee8-432c],,,,,,"Sep 22, 904",,[L4ba64989-bee8-432c],
[Pe93fa99b-b5c0-4005],Desconocida,,,,,,,,,,,,,,,,,,,,
[P94bdeedd-1949-4bf4],Li Zuo (李祚),Li,,,,,male,,According to Primary Sources.,892,,[L4ba64989-bee8-432c],,,,,,908,,[L4ba64989-bee8-432c],
[Pd9b3ff3e-5bfa-44ab],Li Jiancheng (李建成),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P878a67d9-951a-45cb],Li Yuanji (李元吉),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pa69b3da9-14bc-4c71],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P00cfccbf-2e34-4e39],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pf16fdf20-6450-41ac],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P4801f737-cbdf-489a],Li Hong (李弘),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P7ddc98c0-17b0-4c98],Taiping (太平),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pcde85607-608d-4c2f],Li Rong (李溶),,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P2d172ee1-e247-42ba],Wu Shihuo (武士穫),Wu,,,,,male,,According to Primary Sources.,559,,[L4ba64989-bee8-432c],,,,,,635,,[L4ba64989-bee8-432c],
[P158520f1-0c16-407e],Desconocida,,,,,,,,,,,,,,,,,,,,
[P4b279504-da7a-45bf],Unknown,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[Pa98ed6be-e0af-4504],Unknown,,,,,,,,,,,,,,,,,,,,
[P52eb5601-f6d7-4974],Unknown,,,,,,,,,,,,,,,,,,,,
[Pa69e44c5-6520-4fb4],Unknown,,,,,,masculine,,According to Primary Sources.,,,,,,,,,,,,
[P42f8f8ad-a30c-4d03],Unknown,,,,,,feminine,,According to Primary Sources.,,,,,,,,,,,,
[P46295432-a924-4c45],Unknown,,,,,,masculine,,According to Primary Sources.,,,,,,,,,,,,
[P621a442c-1bf8-4d29],Unknown,,,,,,feminino,,According to Primary Sources.,,,,,,,,,,,,
[P53bab3d6-86dc-442a],Unknown,,,,,,,,,,,,,,,,,,,,
[Pbf0a8897-198f-4a54],Unknown,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P8fc4273e-a3bc-4b37],Unknown,,,,,,,,,,,,,,,,,,,,
[P5916d9a7-578d-4110],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pdd1bfc2b-e748-45c3],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P434d483e-aa15-41f5],Unknown,,,,,,female,,According to Primary Sources.,,,,,,,,,,,,
[Pac0fa2ab-2d2f-4365],Unknown,,,,,,,,,,,,,,,,,,,,
[P15567599-e6e7-4bcd],Unknown,,,,,,female,,According to Primary Sources.,,,,,,,,,,,,
[P90b5e0b0-c273-4e57],Unknown,,,,,,,,,,,,,,,,,,,,
[Ped1aa645-2de5-4a78],Unknown,,,,,,female,,According to Primary Sources.,,,,,,,,,,,,
[P8c9380b5-742f-4b93],Unknown,,,,,,,,,,,,,,,,,,,,
[P9577c944-11c5-4319],Unknown,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P0123199d-4b51-4931],Unknown,,,,,,,,,,,,,,,,,,,,
[P1edc7c93-7ae4-4eee],Desconhecida,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P0b5ca5fb-779e-44d7],Unknown,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pcdb04eed-b9c9-40a8],Desconocida,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P7b647e36-d8b8-49b7],Desconocido,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pc5a40d6c-3a0a-4e80],Mutota Nyatsimba,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pc397124e-f5da-4e69],Unknown,,,,,,,,,,,,,,,,,,,,
[P93149fcc-a082-4c8c],Matope Nebedza,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
[P6322f0bb-cceb-43a6],Desconocida,,,,,,,,,,,,,,,,,,,,
[P0e5f6888-f515-4091],Nyahuma,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pcb763f69-fb39-4074],Unknown,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pc2880600-7a91-4447],Unknown,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[Pa0e8cd2a-eef6-4b8e],Unknown,,,,,,,,,,,,,,,,,,,,
[Pe7a3531d-d38a-444a],Gatsi Rusere,,,,,,male,,According to Primary Sources.,,,,,,,,,1624,,[L93817fed-0f02-415c],
[P6eb31a0a-433e-4f04],Unknown,,,,,,,,,,,,,,,,,,,,
[Pfbcc1188-6192-40b5],Nyambu Kapararidze,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[Pea22b3ed-1457-4476],Mavura Mhande,,,,,,male,,According to Primary Sources.,,,,,,,,,1652,,[L93817fed-0f02-415c],
[Pc305c48e-6e77-4e2c],Unknown,,,,,,,,,,,,,,,,,,,,
[Pde62a6cf-52ce-4e24],Siti Kazurukamusapa,,,,,,male,,According to Primary Sources.,,,,,,,,,1663,,[L93817fed-0f02-415c],
[P2db52a2b-1299-4293],Isabel Dias,Dias,,,,,female,,According to Primary Sources.,,,,,,,,,1560,,[L566b86ae-b6e0-4b8e],
[Pc56abc67-4623-4f64],João Ramalho,,,,,,,,,,,,,,,,,,,,
[Pe35fc638-3d4e-4a67],Beatriz Dias,Dias,,,,,female,,According to Primary Sources.,,,,,,,,,,,,
[Pa559e6f5-66c0-43f4],Lopo Dias,,,,,,,,,,,,,,,,,,,,
[P65017981-ce64-45e2],Susana Dias,Dias,,,,,female,,According to Primary Sources.,1552,,[L566b86ae-b6e0-4b8e],,,,,,1634,,[L566b86ae-b6e0-4b8e],
[P0e6b82e8-64eb-4ac8],Manuel Fernandes Ramos,,,,,,,,,,,,,,,,,,,,
[Pa397734b-dc2a-42ed],Belchior da Costa,,,,,,,,,,,,,,,,,,,,
[P10c033c0-a783-4566],Unknown,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
[P455f9a56-4f07-4873],Unknown,,,,,,,,,,,,,,,,,,,,
[Pa666565e-1022-4812],Beatriz Dias,,,,,,,,,,,,,,,,,,,,
[Pc32aea2f-5a35-464e],Rui Dias Machado,Dias Machado,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P7be84eab-81b2-4edf],Isabel Afonso,,,,,,,,,,,,,,,,,,,,
[P63f10249-cd92-4eea],Cecilia Roiz,,,,,,,,,,,,,,,,,,,,
[P4d79eef1-a92b-4f63],Loureço Dias Machado,Dias Machado,,,,,masculine,,According to Primary Sources.,,,,,,,,,,,,
[Pa9dec09d-ae6c-435b],Pedro Dias,Dias,,,,,masculino,,According to Primary Sources.,,,,,,,,,,,,
[Pd02a2863-ad14-425b],Unknown,,,,,,,,,,,,,,,,,,,,
[Pcc1f0d0f-9f64-49e2],Antonia Gomes,,,,,,,,,,,,,,,,,,,,
[P630ec64f-bab4-4d40],Jerônimo Dias,Dias,,,,,masculine,,According to Primary Sources.,,,,,,,,,,,,
[P7c09fce0-4d93-466a],Bento Dias (da Silva),Dias,,,,,masculino,,According to Primary Sources.,1812,,,,,,,,,,,
[Pc7442d8a-e853-4e3f],Anastacia Maria de Jesus,,,,,,,,,,,,,,,,,,,,
[Pd345738f-efcb-4ad6],André Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pc73056d0-576c-4259],Joana Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P0a119517-07f3-46b1],Margarida Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P438d95c0-7e41-49b8],Victorio Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pd45ee8cf-7aea-4cfd],Antonio de Macedo,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pa625f91f-b7d2-4475],Marcos Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Pe74ca57f-c7ee-420f],Jordão Ramalho,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[Peb1c0932-1508-4d17],Antônia Quaresma,,,,,,,,No primary source was found to confirm this.,,,,,,,,,,,,
[P5827ea0a-43e0-45fb],Belchior Carneiro,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P6bcf8c44-44b5-4846],Custódia Dias,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[Pa5164179-a217-4d45],André Fernandes,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P0c5ea1f8-1bc9-44bd],Balthezar Fernandes,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P15752814-a6e2-4c02],Daniel Dias Machado,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P7a1bc336-7479-4511],Brizida Machado,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P0d448da5-09b8-4eae],João Dias Anastacio,,,,,,,,According to Primary Sources.,,,,,,,,,,,,
[P2405ace1-a0d5-4807],Girnamme,,,,,,male,,According to Primary Sources.,,,,,,,,,,,,
[P09cf9563-4907-48ff],Unknown,,,,,,,,,,,,,,,,,,,,
[Pf11d729b-2084-49e4],Tazitta,,,,,,male,,No primary source was found to confirm this.,,,,,,,,,,,,
