,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[P24985297-a662-4e77],Desconocida,,,,,,femenino,"van den Bergh, G. D. et al",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa8aa5c34-83cd-4619],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pa4a8e568-726e-4773],Desconocida,,,,,,femenino,"Starikovskaya, Elena B. et al.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P2a23a38d-040a-40b6],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pa158bdc5-2d0c-452c],Desconocida,,,,,,,"Hitchcock, Don",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P386661a0-63f2-46a8],Desconocido,,,,,,,"Hitchcock, Don",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P45653287-2524-4f37],Desconocida,,,,,,,"Hitchcock, Don",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P25ca0559-8c83-4e3d],Desconocido,,,,,,,"Blaxland, Beth",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P9f28c6d7-a16d-4efb],Desconocida,,,,,,,"Dorey, Fran",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pbb00aeab-f56d-4008],Desconocida,,,,,,,"Dorey, Fran",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P6cb20142-3b79-4e2f],Desconocida,,,,,,,"Dorey, Fran",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pbadaffab-804a-40ff],Desconocido,,,,,,,"Dorey, Fran",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pab7106da-c588-4e21],Desconocida,,,,,,,"Qin, P., & Stoneking, M.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pb86cf4e0-267e-45df],Desconocida,,,,,,,"Dorey, Fran",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pbe806d87-b69c-45a9],Desconocido,,,,,,,,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pa4d44e43-7b35-4d20],Qasi,,,,,,masculino,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P687f8bea-09d0-4448],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pd5c23863-5e23-4d24],Fortún,,,,,,masculino,"Juste, Alberto C.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P4e9f1cbf-75bf-4e2d],Desconocida,,,,,,,,,,,,,,,,,,,,
[P2452ecba-960f-4553],Aisha bint Abd al-Aziz,,,,,,,,,,,,,,,,,,,,
[P8a44d448-af25-400b],Musa,,,,,,masculino,"Juste, Alberto C.",De acuerdo con fuentes primarias.,,,,,,,,,789,,[L74f1dc3e-8b18-46e3],"Juste, Alberto C."
[P1a1bad0b-9f2a-46cc],Desconocida,,,,,,,,,,,,,,,,,,,,
[P5a731099-2535-4f31],Musa,,,,,,masculino,"Juste, Alberto C.",De acuerdo con fuentes primarias.,,,,,,,,,26 de Sep de 862,,[L74f1dc3e-8b18-46e3],"De La Granja, Fernando"
[P9a04bd92-39b0-4384],Assona Iñiguez,,,,,,,,,,,,,,,,,,,,
[Ped975f05-8b2e-471a],Desconocida,,,,,,,,,,,,,,,,,,,,
[P4533fd2a-9151-4c8b],Lubb,,,,,,masculino,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,27 de Apr de 875,,[Lad968203-d4d6-454c],"De La Granja, Fernando"
[Pefc079ac-f43a-4831],Ayab,,,,,,,,,,,,,,,,,,,,
[P467ccf01-f402-49a6],Aurea,,,,,,femenino,History Tracers Team,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P4f42f68e-d04f-4cf5],Fortún Garcia,,,,,,,,,,,,,,,,,,,,
[P36da6771-de40-45b9],Muhammad,,,,,,masculino,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,2 de Oct de 898,,[Lad968203-d4d6-454c],"De La Granja, Fernando"
[P738ab82e-6127-4cc7],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pdfe82008-d8ac-4a5f],Lubb,,,,,,masculino,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pbee536be-452c-4879],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pfd21d0b2-cc07-40ae],Abu Tawr,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P1085dc64-e6ae-4e6a],Abu Salama,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P3746cee7-5b12-43ba],Yunus,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P16c6aa93-c9db-48a7],Yahya,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P23dadd34-3172-4b2a],Zahir,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pd4df2843-b655-418d],Mutarrif ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P28dd6e1c-174f-4257],Yunus ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P613c586d-5d1f-476a],Yuwartas ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P0c55dd09-d135-4b4a],Garsiya ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P8b000091-0621-4f44],Mutarrif ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P3c4ce6f3-b293-4d38],Fortun ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P85e0fdb2-f897-45e3],Ismail ibn Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P9e904fcb-3a21-4164],Awriya bint Musa,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pc35b09a2-373f-46bf],Not Known,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P96c16c3a-9245-45ba],Lubb ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pdd37b7f1-4c0a-49f5],Musa ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P1ee2d4d0-3ac4-40c1],Yusuf ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P21c4d1ca-7aff-4416],Abd Allah ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa3ba687d-d1ac-4da9],Yunus ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P5379285d-ecf4-4c2b],Mutarif ibn Muhammad,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P46f8bcca-4fdf-40ac],Muhammad ibn Muhammad,,,,,,,Medieval Lands,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pb54911ed-1b53-412f],Desconocida,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P2f5c549c-0abd-4924],Desconocida,,,,,,,"De La Granja, Fernando",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P4b279504-da7a-45bf],Desconocido,,,,,,masculino,,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa98ed6be-e0af-4504],Desconocida,,,,,,,,,,,,,,,,,,,,
[P52eb5601-f6d7-4974],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pa69e44c5-6520-4fb4],Desconocido,,,,,,masculino,"Frost, Amy, Tatton-Brown, Kate, Simpson, Siobhan",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P42f8f8ad-a30c-4d03],Desconocida,,,,,,femenino,"Frost, Amy, Tatton-Brown, Kate, Simpson, Siobhan",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P46295432-a924-4c45],Desconocido,,,,,,masculino,"Frost, Amy, Tatton-Brown, Kate, Simpson, Siobhan",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P621a442c-1bf8-4d29],Desconocida,,,,,,femenino,"Simpson, Siobhan & Miller, Ed",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P53bab3d6-86dc-442a],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pbf0a8897-198f-4a54],Desconocido,,,,,,masculino,"Bahu, Helder",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P8fc4273e-a3bc-4b37],Desconocida,,,,,,,,,,,,,,,,,,,,
[P5916d9a7-578d-4110],Desconocido,,,,,,,,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pdd1bfc2b-e748-45c3],Desconocida,,,,,,,,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P434d483e-aa15-41f5],Desconhecida,,,,,,feminino,"Brantingham, P. J., & Kuhn, S. L.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pac0fa2ab-2d2f-4365],Desconhecido,,,,,,,,,,,,,,,,,,,,
[P15567599-e6e7-4bcd],Desconocida,,,,,,femenino,,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P90b5e0b0-c273-4e57],Desconocida,,,,,,,,,,,,,,,,,,,,
[Ped1aa645-2de5-4a78],Desconocida,,,,,,femenino,The British Museum,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P8c9380b5-742f-4b93],Desconocido,,,,,,,,,,,,,,,,,,,,
[P9577c944-11c5-4319],Desconocido,,,,,,masculino,"Bostoen, K.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P0123199d-4b51-4931],Desconocida,,,,,,,,,,,,,,,,,,,,
[P1edc7c93-7ae4-4eee],Desconhecida,,,,,,,,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P0b5ca5fb-779e-44d7],Desconocida,,,,,,,"Vansina, J.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pcdb04eed-b9c9-40a8],Desconocida,,,,,,,"Vansina, J.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P7b647e36-d8b8-49b7],Desconocido,,,,,,,"Bostoen, K.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pc5a40d6c-3a0a-4e80],Mutota Nyatsimba,,,,,,masculino,"Beach, D. N.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pc397124e-f5da-4e69],Desconocida,,,,,,,,,,,,,,,,,,,,
[P93149fcc-a082-4c8c],Matope Nebedza,,,,,,masculino,"Beach, D. N.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P6322f0bb-cceb-43a6],Desconocida,,,,,,,,,,,,,,,,,,,,
[P0e5f6888-f515-4091],Nyahuma,,,,,,masculino,"Beach, D. N.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pcb763f69-fb39-4074],Desconhecido,,,,,,masculino,"Beach, D. N.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pc2880600-7a91-4447],Desconocido,,,,,,masculino,"Beach, D. N.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa0e8cd2a-eef6-4b8e],Descoocida,,,,,,,,,,,,,,,,,,,,
[Pe7a3531d-d38a-444a],Gatsi Rusere,,,,,,masculino,"Beach, D. N.",De acuerdo con fuentes primarias.,,,,,,,,,1624,,[L93817fed-0f02-415c],"Beach, D. N."
[P6eb31a0a-433e-4f04],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pfbcc1188-6192-40b5],Nyambu Kapararidze,,,,,,masculino,"Beach, D. N.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pea22b3ed-1457-4476],Mavura Mhande,,,,,,masculino,"Beach, D. N.",De acuerdo con fuentes primarias.,,,,,,,,,1652,,[L93817fed-0f02-415c],"Beach, D. N."
[Pc305c48e-6e77-4e2c],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pde62a6cf-52ce-4e24],Siti Kazurukamusapa,,,,,,masculino,"Beach, D. N.",De acuerdo con fuentes primarias.,,,,,,,,,1663,,[L93817fed-0f02-415c],"Beach, D. N."
[P2db52a2b-1299-4293],Isabel Díaz,Díaz,,,,,femenino,"Viotti, Pe. H. A.",De acuerdo con fuentes primarias.,,,,,,,,,1560,,[L566b86ae-b6e0-4b8e],"Franco, Antonio"
[Pc56abc67-4623-4f64],João Ramalho,,,,,,,,,,,,,,,,,,,,
[Pe35fc638-3d4e-4a67],Beatriz Dias,Dias,,,,,femenino,"de Moura, Américo",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa559e6f5-66c0-43f4],Lopo Dias,,,,,,,,,,,,,,,,,,,,
[P65017981-ce64-45e2],Susana Dias,Dias,,,,,femenino,"Viotti, Hélio A.",De acuerdo con fuentes primarias.,1552,,[L566b86ae-b6e0-4b8e],"Viotti, Hélio A.",,,,,1634,,[L566b86ae-b6e0-4b8e],Inventários e Testamentos
[P0e6b82e8-64eb-4ac8],Manuel Fernandes Ramos,,,,,,,,,,,,,,,,,,,,
[Pa397734b-dc2a-42ed],Belchior da Costa,,,,,,,,,,,,,,,,,,,,
[P10c033c0-a783-4566],Desconocido,,,,,,masculino,"de Moura, Américo",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P455f9a56-4f07-4873],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pa666565e-1022-4812],Beatriz Díaz,,,,,,,,,,,,,,,,,,,,
[Pc32aea2f-5a35-464e],Rui Díaz Machado,Díaz Machado,,,,,masculino,"de Moura, Américo",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P7be84eab-81b2-4edf],Isabel Afonso,,,,,,,,,,,,,,,,,,,,
[P63f10249-cd92-4eea],Cecilia Roiz,,,,,,,,,,,,,,,,,,,,
[P4d79eef1-a92b-4f63],Loureço Díaz Machado,Díaz Machado,,,,,masculino,Atas de São Paulo,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa9dec09d-ae6c-435b],Pedro Díaz,Díaz,,,,,masculino,Atas de São Paulo,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pd02a2863-ad14-425b],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pcc1f0d0f-9f64-49e2],Antonia Gomes,,,,,,,,,,,,,,,,,,,,
[P630ec64f-bab4-4d40],Jerônimo Díaz,Díaz,,,,,masculino,"Rangel, Gilber R.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P7c09fce0-4d93-466a],Bento Dias (da Silva),Dias,,,,,masculino,Arquivo Público Mineiro,De acuerdo con fuentes primarias.,1812,,,Arquivo Público Mineiro,,,,,,,,
[Pc7442d8a-e853-4e3f],Anastacia Maria de Jesus,,,,,,,,,,,,,,,,,,,,
[Pd345738f-efcb-4ad6],André Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pc73056d0-576c-4259],Joana Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P0a119517-07f3-46b1],Margarida Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P438d95c0-7e41-49b8],Victorio Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pd45ee8cf-7aea-4cfd],Antonio de Macedo,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pa625f91f-b7d2-4475],Marcos Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Pe74ca57f-c7ee-420f],Jordão Ramalho,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[Peb1c0932-1508-4d17],Antônia Quaresma,,,,,,,W. Luiz,No se encontraron fuentes primarias.,,,,,,,,,,,,
[P5827ea0a-43e0-45fb],Belchior Carneiro,,,,,,,Inventários e Testamentos,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P6bcf8c44-44b5-4846],Custódia Dias,,,,,,,Inventários e Testamentos,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa5164179-a217-4d45],André Fernandes,,,,,,,Inventários e Testamentos,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P0c5ea1f8-1bc9-44bd],Balthezar Fernandes,,,,,,,Inventários e Testamentos,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P15752814-a6e2-4c02],Daniel Díaz Machado,,,,,,,"Viotti, Hélio A.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P7a1bc336-7479-4511],Brizida Machado,,,,,,,Historia de la Familia,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P0d448da5-09b8-4eae],João Dias Anastacio,,,,,,,Paróquia Nossa Senhora de Nazaré,De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P58ca6af8-50d0-4561],Yang Jian (楊堅),Yang,,,,,masculino,"Xiong, V. C.",De acuerdo con fuentes primarias.,541,,[L4ba64989-bee8-432c],"Wright, A.F.",,,,,604,,[L4ba64989-bee8-432c],"Wright, A.F."
[P9bdc91b9-0579-4630],Dugu Qieluo (獨孤伽羅),,,,,,,,,,,,,,,,,,,,
[P855d9bb4-6d31-4788],Yang Guang (楊廣),Yang,,,,,masculino,"Xiong, V. C.",De acuerdo con fuentes primarias.,569,,[L4ba64989-bee8-432c],Britannica Editors,,,,,618,,[L4ba64989-bee8-432c],Britannica Editors
[P8573a7f5-72d6-4583],Emperatriz Xiao (蕭后),,,,,,,,,,,,,,,,,,,,
[P10a5ce41-1cba-4796],Yang Zhao (楊昭),,,,,,masculino,"Benn, J. A.",De acuerdo con fuentes primarias.,579,,[L4ba64989-bee8-432c],"Benn, J. A.",,,,,2010,,[L4ba64989-bee8-432c],"Benn, J. A."
[P8dfaa18f-4251-45da],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pf0c9cbe2-a22d-43d8],Yang Tong (楊侗),,,,,,masculino,"Cartwright, M.",De acuerdo con fuentes primarias.,,,,,,,,,618,,[L4ba64989-bee8-432c],"Benn, J. A."
[P3378c16e-9464-4eca],Yang Yong (楊勇),,,,,,,"Xiong, V. C.",No se encontraron fuentes primarias.,,,,,,,,,,,,
[P0d0c7d52-e67d-4e1b],Li Yuan (李淵),Li,,,,,masculino,"Wong, W. P.",De acuerdo con fuentes primarias.,566,,[L87cf1d96-a0db-4cbd],Britannica Editors,,,,,626,,[L87cf1d96-a0db-4cbd],Britannica Editors
[P0beeb712-a15e-4b5c],Desconocida,,,,,,,,,,,,,,,,,,,,
[P90c89de9-a504-4528],Li Shimin (李世民),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,598,,[L1fa313d2-52b2-4260],"Mark, E.",,,,,649,,[L4ba64989-bee8-432c],"Mark, E."
[Pfe810c29-c9ad-4681],Desconocida,,,,,,,,,,,,,,,,,,,,
[P61312414-3632-4a70],Li Zhi (李治),Li,,,,,masculino,Britannica Editors,De acuerdo con fuentes primarias.,628,,[L87cf1d96-a0db-4cbd],Britannica Editors,,,,,683,,[L87cf1d96-a0db-4cbd],Britannica Editors
[P2c821571-69da-4686],Wang (王后),,,,,,,,,,,,,,,,,,,,
[P7fd55d12-3a92-4ec2],Xiao Shufei,,,,,,,,,,,,,,,,,,,,
[Pff76cad8-9368-4a23]," Wu Zetian (武則天)",,,,,,,,,,,,,,,,,,,,
[P19ba71c0-4cf2-4092],Li Xian (李顯),Li,,,,,masculino,"Jinhua, C.",De acuerdo con fuentes primarias.,653,,[L4ba64989-bee8-432c],"Mark, E.",,,,,710,,[L4ba64989-bee8-432c],"Mark, E."
[Pefef5f13-894e-4642],Wei (韋),,,,,,,,,,,,,,,,,,,,
[Pc26d7ab6-28fb-45ac],Li Chongmao (李重茂),Li,,,,,masculino,"Chen, J.",De acuerdo con fuentes primarias.,695,,,"Chen, J.",,,,,,,,
[P92c8ee7a-557d-4dae],Li Dan (李旦),Li,,,,,masculino,Britannica Editors,De acuerdo con fuentes primarias.,662,,[L4ba64989-bee8-432c],Britannica Editors,,,,,13 de Jul de 716,,[L4ba64989-bee8-432c],"Jinhua, C."
[Pdc581fdf-c4eb-4fee],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pfe7d5336-603f-4712],Li Longji (李隆基),Li,,,,,masculino,"Chen, J.",De acuerdo con fuentes primarias.,685,,[L4ba64989-bee8-432c],"Chen, J.",,,,,762,,[L4ba64989-bee8-432c],"Chen, J."
[P2811cd6e-1a02-4c60],Yuanxian,,,,,,,,,,,,,,,,,,,,
[Pc78967c6-e769-4f22],Li Heng (李亨),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,711,,[L4ba64989-bee8-432c],"Jinhua, C.",,,,,762,,[L4ba64989-bee8-432c],"Jinhua, C."
[Pd81dddf0-9ee7-4c7d],Dowager Zhangjing (章敬),,,,,,,,,,,,,,,,,,,,
[P9fb9ee5f-0528-4ea4],Li Yu (李豫),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,726,,[L4ba64989-bee8-432c],"Pei, C., & Li, W.",,,,,779,,[L4ba64989-bee8-432c],"Pei, C., & Li, W."
[P6be0543e-778d-4866],Shen (沈),,,,,,,,,,,,,,,,,,,,
[P146b4540-3450-4452],Li Shi (李適),Li,,,,,masculino,"Feuerwerker, A. et al.",De acuerdo con fuentes primarias.,742,,[L4ba64989-bee8-432c],"Jinhua, C.",,,,,885,,[L4ba64989-bee8-432c],"Jinhua, C."
[P83aa4e94-6a80-410e],Desconocida,,,,,,,,,,,,,,,,,,,,
[P4e55f0a4-2a26-4605],Li Song (李婎),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,761,,[L4ba64989-bee8-432c],"Jinhua, C.",,,,,806,,[L4ba64989-bee8-432c],"Jinhua, C."
[P4ff773db-b186-43ea],Desconocida,,,,,,,,,,,,,,,,,,,,
[P15ecef31-c173-45af],Li Chun (李純),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,778,,[L4ba64989-bee8-432c],"Chen, X.",,,,,820,,[L4ba64989-bee8-432c],"Chen, X."
[P7fb32396-406f-428d],Desconocida,,,,,,,,,,,,,,,,,,,,
[P37954e2e-ba5b-43d3],Li Heng (李恆),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,795,,[L4ba64989-bee8-432c],"Qin, A. Y., & 秦瓔",,,,,824,,[L4ba64989-bee8-432c],"Qin, A. Y., & 秦瓔"
[P2cfbb6d0-1f4e-4654],Guo (郭),,,,,,,,,,,,,,,,,,,,
[Pfa66493f-f6c4-495f],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pbc6d29b3-e877-4c4e],Li Zhan (李湛),Li,,,,,masculino,"Zou, X.",De acuerdo con fuentes primarias.,809,,[L4ba64989-bee8-432c],"Zou, X.",,,,,826,,[L4ba64989-bee8-432c],"Mark, E."
[P9afeaa60-8328-470a],Li Ang (李昂),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,,,,,,,,,840,,[L4ba64989-bee8-432c],"McKnight, B.E. et al."
[Pefb81ade-0d19-4ee8],Desconocida,,,,,,,,,,,,,,,,,,,,
[P5ac6d42f-c31a-445a],Li Chan (李炎),Li,,,,,masculino,"Zou, X.",De acuerdo con fuentes primarias.,814,,[L4ba64989-bee8-432c],"Zou, X.",,,,,846,,[L4ba64989-bee8-432c],"Zou, X."
[P50449363-9f89-4d24],Li Cheng (李忱),Li,,,,,masculino,"Zou, X.",De acuerdo con fuentes primarias.,,,,,,,,,859,,[L4ba64989-bee8-432c],"Höckelmann, M."
[Pa74327ac-500e-46c7],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pdf970eb5-76b2-4644],Li Cui (李漼),Li,,,,,masculino,"Jinhua, C.",De acuerdo con fuentes primarias.,833,,[L4ba64989-bee8-432c],"Honey, D. B., & Lyon, M. P.",,,,,873,,[L4ba64989-bee8-432c],"Honey, D. B., & Lyon, M. P."
[Pc6f12b96-746a-4e24],Desconocida,,,,,,,,,,,,,,,,,,,,
[Pcaa4eeae-7a45-4bfd],Li Xuan (李儇),Li,,,,,masculino,"Keightley, D.N. et al.",De acuerdo con fuentes primarias.,862,,[L4ba64989-bee8-432c],"Keightley, D.N. et al.",,,,,888,,[L4ba64989-bee8-432c],"Keightley, D.N. et al."
[Pe4bde887-2d9b-41cf],Li Ye (李曄),Li,,,,,masculino,"Mark, E.",De acuerdo con fuentes primarias.,1 de Apr de 867,,[L4ba64989-bee8-432c],"Jinhua, C.",,,,,22 de Sep de 904,,[L4ba64989-bee8-432c],"Jinhua, C."
[Pe93fa99b-b5c0-4005],Desconocida,,,,,,,,,,,,,,,,,,,,
