,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[P2cf9c194-8d97-4f26],Helu,,,,,,masculino,"Hinz, W. (1972). Written at United Kingdom. The Lost World of Elam: Re-creation of a Vanished Civilization. Translated by Barnes, J. University of California: Sidgwick & Jackson. ISBN 9780283978630., (https://ia801406.us.archive.org/22/items/in.ernet.dli.2015.108463/2015.108463.Lost-World-Of-Elam_text.pdf)",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P4e963166-3bcf-47fa],Hita,,,,,,masculino,"Hinz, W. (1972). Written at United Kingdom. The Lost World of Elam: Re-creation of a Vanished Civilization. Translated by Barnes, J. University of California: Sidgwick & Jackson. ISBN 9780283978630., (https://ia801406.us.archive.org/22/items/in.ernet.dli.2015.108463/2015.108463.Lost-World-Of-Elam_text.pdf)",Não foram encontradas fontes primárias.,,,,,,,,,,,,
,,,,,,,
,,,,,,,
marriage," parent1"," parent2"," date"," place"," placeID"," source"," note"
[Fbabdd6d0-d6ea-4a7a]," [Paa73d28f-e97e-48d3]"," [Pb1e8eb4d-05bc-40cf]",,,,"Potts, D. T. (1999). Elam and Awan. In The Archaeology of Elam (pp. 85–129). Cambridge University Press., (https://doi.org/10.1017/cbo9780511489617.006)",Não foram encontradas fontes primárias.
,,,,
,,,,
family," child"," source"," note"," gender"
[Fbabdd6d0-d6ea-4a7a]," [P9d6a3967-ad7e-496c]","Potts, D. T. (1999). Elam and Awan. In The Archaeology of Elam (pp. 85–129). Cambridge University Press., (https://doi.org/10.1017/cbo9780511489617.006)",Não foram encontradas fontes primárias.,
